FID,LAD20CD,LAD20NM,original,alpha,delta,color
200,E07000075,Rochford,4.249795569,2.251966648,3.226412823,3.32
201,E07000076,Tendring,4.239408741,2.258445546,3.216243571,3.33
202,E07000077,Uttlesford,4.255401241,2.244316355,3.235631228,3.34
203,E07000078,Cheltenham,4.254528328,2.242691913,3.242250716,3.35
204,E07000079,Cotswold,4.255373859,2.238010215,3.208228144,3.36
205,E07000080,Forest of Dean,4.260382259,2.253380353,3.217069266,3.37
206,E07000081,Gloucester,4.263785695,2.239888853,3.237627256,3.38
207,E07000082,Stroud,4.263773856,2.258688156,3.240034797,3.39
208,E07000083,Tewkesbury,4.250394871,2.234149195,3.22420882,3.4
209,E07000084,Basingstoke and Deane,4.243210612,2.247527928,3.230757999,3.41
210,E07000085,East Hampshire,4.244578717,2.247282789,3.216181198,3.42
211,E07000146,King's Lynn and West Norfolk,4.240126862,2.259681007,3.216961285,3.43
212,E07000086,Eastleigh,4.252471429,2.261480671,3.275677149,3.44
213,E07000147,North Norfolk,4.235258293,2.241660445,3.176134403,3.45
214,E07000148,Norwich,4.264367707,2.256297531,3.2361898,3.46
215,E07000149,South Norfolk,4.253619968,2.246853806,3.223777473,3.47
216,E07000163,Craven,4.285795378,2.245195829,3.232337141,3.48
217,E07000164,Hambleton,4.278292295,2.251538434,3.243129757,3.49
218,E07000165,Harrogate,4.276987044,2.254434775,3.261698048,3.5
219,E07000166,Richmondshire,4.265050542,2.259190269,3.229728922,3.51
220,E07000167,Ryedale,4.268514084,2.242725755,3.214779038,3.52
221,E07000168,Scarborough,4.281831493,2.260001114,3.265331334,3.53
222,E07000169,Selby,4.286411463,2.271058175,3.249607399,3.54
223,E07000170,Ashfield,4.291759514,2.280210023,3.277481056,3.55
224,E07000171,Bassetlaw,4.290910398,2.282339897,3.281530758,3.56
225,E07000172,Broxtowe,4.30482957,2.270230952,3.250241226,3.57
226,E07000173,Gedling,4.306636508,2.277609534,3.271843023,3.58
227,E07000174,Mansfield,4.296590445,2.285093298,3.285469732,3.59
228,E07000175,Newark and Sherwood,4.296103297,2.277035717,3.264396228,3.6
229,E07000176,Rushcliffe,4.304019562,2.262862048,3.268300536,3.61
230,E07000177,Cherwell,4.251135573,2.244817053,3.229698045,3.62
231,E07000178,Oxford,4.27159116,2.256996834,3.239319318,3.63
232,E07000179,South Oxfordshire,4.243191911,2.248725577,3.215754249,3.64
233,E07000180,Vale of White Horse,4.243627447,2.24904712,3.21553567,3.65
