Date,Region,Number of Delta cases
06/07/2021,North West,556
06/07/2021,North East,733
06/07/2021,Yorkshire and Humber,417
06/07/2021,West Midlands,201
06/07/2021,East Midlands,249
06/07/2021,East of England,370
06/07/2021,London,840
06/07/2021,South West,277
06/07/2021,South East,492
06/07/2021,Unknown,44
07/07/2021,North West,692
07/07/2021,North East,1127
07/07/2021,Yorkshire and Humber,351
07/07/2021,West Midlands,335
07/07/2021,East Midlands,558
07/07/2021,East of England,404
07/07/2021,London,579
07/07/2021,South West,416
07/07/2021,South East,565
07/07/2021,Unknown,54
08/07/2021,North West,464
08/07/2021,North East,424
08/07/2021,Yorkshire and Humber,390
08/07/2021,West Midlands,143
08/07/2021,East Midlands,230
08/07/2021,East of England,355
08/07/2021,London,880
08/07/2021,South West,728
08/07/2021,South East,540
08/07/2021,Unknown,55
09/07/2021,North West,361
09/07/2021,North East,690
09/07/2021,Yorkshire and Humber,309
09/07/2021,West Midlands,90
09/07/2021,East Midlands,260
09/07/2021,East of England,407
09/07/2021,London,699
09/07/2021,South West,843
09/07/2021,South East,587
09/07/2021,Unknown,57
10/07/2021,North West,385
10/07/2021,North East,391
10/07/2021,Yorkshire and Humber,345
10/07/2021,West Midlands,236
10/07/2021,East Midlands,214
10/07/2021,East of England,241
10/07/2021,London,645
10/07/2021,South West,500
10/07/2021,South East,664
10/07/2021,Unknown,26
11/07/2021,North West,353
11/07/2021,North East,562
11/07/2021,Yorkshire and Humber,346
11/07/2021,West Midlands,273
11/07/2021,East Midlands,561
11/07/2021,East of England,303
11/07/2021,London,572
11/07/2021,South West,413
11/07/2021,South East,756
11/07/2021,Unknown,25
12/07/2021,North West,479
12/07/2021,North East,870
12/07/2021,Yorkshire and Humber,434
12/07/2021,West Midlands,476
12/07/2021,East Midlands,368
12/07/2021,East of England,490
12/07/2021,London,729
12/07/2021,South West,126
12/07/2021,South East,698
12/07/2021,Unknown,50
13/07/2021,North West,664
13/07/2021,North East,314
13/07/2021,Yorkshire and Humber,446
13/07/2021,West Midlands,196
13/07/2021,East Midlands,196
13/07/2021,East of England,543
13/07/2021,London,1112
13/07/2021,South West,207
13/07/2021,South East,718
13/07/2021,Unknown,73
14/07/2021,North West,863
14/07/2021,North East,135
14/07/2021,Yorkshire and Humber,826
14/07/2021,West Midlands,450
14/07/2021,East Midlands,206
14/07/2021,East of England,569
14/07/2021,London,1079
14/07/2021,South West,261
14/07/2021,South East,939
14/07/2021,Unknown,55
15/07/2021,North West,518
15/07/2021,North East,173
15/07/2021,Yorkshire and Humber,589
15/07/2021,West Midlands,223
15/07/2021,East Midlands,211
15/07/2021,East of England,435
15/07/2021,London,715
15/07/2021,South West,327
15/07/2021,South East,634
15/07/2021,Unknown,73
16/07/2021,North West,910
16/07/2021,North East,211
16/07/2021,Yorkshire and Humber,520
16/07/2021,West Midlands,628
16/07/2021,East Midlands,267
16/07/2021,East of England,513
16/07/2021,London,804
16/07/2021,South West,338
16/07/2021,South East,702
16/07/2021,Unknown,56
17/07/2021,North West,445
17/07/2021,North East,208
17/07/2021,Yorkshire and Humber,317
17/07/2021,West Midlands,312
17/07/2021,East Midlands,211
17/07/2021,East of England,485
17/07/2021,London,677
17/07/2021,South West,239
17/07/2021,South East,519
17/07/2021,Unknown,45
18/07/2021,North West,748
18/07/2021,North East,500
18/07/2021,Yorkshire and Humber,378
18/07/2021,West Midlands,588
18/07/2021,East Midlands,355
18/07/2021,East of England,368
18/07/2021,London,452
18/07/2021,South West,115
18/07/2021,South East,423
18/07/2021,Unknown,30
19/07/2021,North West,884
19/07/2021,North East,346
19/07/2021,Yorkshire and Humber,766
19/07/2021,West Midlands,515
19/07/2021,East Midlands,454
19/07/2021,East of England,469
19/07/2021,London,949
19/07/2021,South West,538
19/07/2021,South East,727
19/07/2021,Unknown,39
20/07/2021,North West,1037
20/07/2021,North East,253
20/07/2021,Yorkshire and Humber,1170
20/07/2021,West Midlands,449
20/07/2021,East Midlands,364
20/07/2021,East of England,328
20/07/2021,London,496
20/07/2021,South West,510
20/07/2021,South East,385
20/07/2021,Unknown,56
21/07/2021,North West,801
21/07/2021,North East,134
21/07/2021,Yorkshire and Humber,190
21/07/2021,West Midlands,379
21/07/2021,East Midlands,169
21/07/2021,East of England,1007
21/07/2021,London,1563
21/07/2021,South West,164
21/07/2021,South East,618
21/07/2021,Unknown,66
22/07/2021,North West,669
22/07/2021,North East,131
22/07/2021,Yorkshire and Humber,950
22/07/2021,West Midlands,355
22/07/2021,East Midlands,287
22/07/2021,East of England,878
22/07/2021,London,1212
22/07/2021,South West,562
22/07/2021,South East,1167
22/07/2021,Unknown,47
23/07/2021,North West,839
23/07/2021,North East,176
