Date,Alpha,Delta,Omicron,Original
2021/7/18,4299364,1370664,0,2679513
2021/7/19,4299402,1400805,0,2679513
2021/7/20,4299458,1427560,0,2679513
2021/7/21,4299570,1454542,0,2679513
2021/7/22,4299682,1487710,0,2679513
2021/7/23,4299775,1520554,0,2679513
2021/7/24,4299775,1554850,0,2679513
2021/7/25,4299850,1595734,0,2679513
2021/7/26,4299925,1634546,0,2679513
2021/7/27,4299925,1671201,0,2679513
2021/7/28,4299999,1709769,0,2679513
2021/7/29,4300055,1745162,0,2679513
2021/7/30,4300111,1781006,0,2679513
2021/7/31,4300130,1813861,0,2679513
2021/8/1,4300167,1846302,0,2679513
2021/8/2,4300223,1884059,0,2679513
2021/8/3,4300298,1922861,0,2679513
2021/8/4,4300317,1958403,0,2679513
2021/8/5,4300335,1993473,0,2679513
2021/8/6,4300335,2030811,0,2679513
2021/8/7,4300335,2061848,0,2679513
2021/8/8,4300354,2092323,0,2679513
2021/8/9,4300373,2121696,0,2679513
2021/8/10,4300373,2159654,0,2679513
2021/8/11,4300429,2193108,0,2679513
2021/8/12,4300447,2233276,0,2679513
2021/8/13,4300466,2260619,0,2679513
2021/8/14,4300466,2288381,0,2679513
2021/8/15,4300466,2325984,0,2679513
2021/8/16,4300485,2367356,0,2679513
2021/8/17,4300503,2410731,0,2679513
2021/8/18,4300503,2460885,0,2679513
2021/8/19,4300503,2504769,0,2679513
2021/8/20,4300503,2536532,0,2679513
2021/8/21,4300522,2568994,0,2679513
2021/8/22,4300541,2606078,0,2679513
2021/8/23,4300615,2651298,0,2679513
2021/8/24,4300634,2692797,0,2679513
2021/8/25,4300634,2735653,0,2679513
2021/8/26,4300634,2768455,0,2679513
2021/8/27,4300634,2807563,0,2679513
2021/8/28,4300634,2849624,0,2679513
2021/8/29,4300709,2889501,0,2679513
2021/8/30,4300709,2936078,0,2679513
2021/8/31,4300709,2994351,0,2679513
2021/9/1,4300709,3036984,0,2679513
2021/9/2,4300727,3072563,0,2679513
2021/9/3,4300727,3109340,0,2679513
2021/9/4,4300727,3140732,0,2679513
2021/9/5,4300727,3173973,0,2679513
2021/9/6,4300765,3222060,0,2679513
