areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
nation,England,E92000001,26/10/2020,23033,818005,23008,816171,25,1834
nation,England,E92000001,27/10/2020,20771,838776,20750,836921,21,1855
nation,England,E92000001,28/10/2020,20553,859329,20529,857450,24,1879
nation,England,E92000001,29/10/2020,20292,879621,20258,877708,34,1913
nation,England,E92000001,30/10/2020,19905,899526,19877,897585,28,1941
nation,England,E92000001,31/10/2020,14594,914120,14577,912162,17,1958
nation,England,E92000001,01/11/2020,13642,927762,13620,925782,22,1980
nation,England,E92000001,02/11/2020,28472,956234,28431,954213,41,2021
nation,England,E92000001,03/11/2020,22736,978970,22693,976906,43,2064
nation,England,E92000001,04/11/2020,21081,1000051,21049,997955,32,2096
nation,England,E92000001,05/11/2020,21245,1021296,21207,1019162,38,2134
nation,England,E92000001,06/11/2020,21234,1042530,21199,1040361,35,2169
nation,England,E92000001,07/11/2020,16906,1059436,16894,1057255,12,2181
nation,England,E92000001,08/11/2020,18280,1077716,18261,1075516,19,2200
nation,England,E92000001,09/11/2020,28606,1106322,28559,1104075,47,2247
nation,England,E92000001,10/11/2020,24875,1131197,24838,1128913,37,2284
nation,England,E92000001,11/11/2020,25100,1156297,25068,1153981,32,2316
nation,England,E92000001,12/11/2020,22370,1178667,22337,1176318,33,2349
nation,England,E92000001,13/11/2020,22058,1200725,22031,1198349,27,2376
nation,England,E92000001,14/11/2020,16325,1217050,16309,1214658,16,2392
nation,England,E92000001,15/11/2020,14447,1231497,14434,1229092,13,2405
nation,England,E92000001,16/11/2020,24190,1255687,24157,1253249,33,2438
nation,England,E92000001,17/11/2020,20720,1276407,20692,1273941,28,2466
nation,England,E92000001,18/11/2020,18587,1294994,18551,1292492,36,2502
nation,England,E92000001,19/11/2020,15830,1310824,15808,1308300,22,2524
nation,England,E92000001,20/11/2020,14994,1325818,14966,1323266,28,2552
nation,England,E92000001,21/11/2020,10829,1336647,10816,1334082,13,2565
nation,England,E92000001,22/11/2020,10234,1346881,10223,1344305,11,2576
nation,England,E92000001,23/11/2020,16530,1363411,16507,1360812,23,2599
nation,England,E92000001,24/11/2020,14292,1377703,14262,1375074,30,2629
nation,England,E92000001,25/11/2020,14198,1391901,14169,1389243,29,2658
nation,England,E92000001,26/11/2020,12515,1404416,12490,1401733,25,2683
nation,England,E92000001,27/11/2020,12502,1416918,12478,1414211,24,2707
nation,England,E92000001,28/11/2020,9366,1426284,9351,1423562,15,2722
nation,England,E92000001,29/11/2020,9090,1435374,9077,1432639,13,2735
nation,England,E92000001,30/11/2020,15295,1450669,15268,1447907,27,2762
nation,England,E92000001,01/12/2020,13793,1464462,13761,1461668,32,2794
nation,England,E92000001,02/12/2020,13734,1478196,13700,1475368,34,2828
nation,England,E92000001,03/12/2020,12828,1491024,12796,1488164,32,2860
nation,England,E92000001,04/12/2020,13097,1504121,13076,1501240,21,2881
nation,England,E92000001,05/12/2020,10326,1514447,10319,1511559,7,2888
nation,England,E92000001,06/12/2020,11070,1525517,11055,1522614,15,2903
nation,England,E92000001,07/12/2020,17722,1543239,17680,1540294,42,2945
nation,England,E92000001,08/12/2020,16969,1560208,16933,1557227,36,2981
nation,England,E92000001,09/12/2020,17772,1577980,17735,1574962,37,3018
nation,England,E92000001,10/12/2020,18861,1596841,18830,1593792,31,3049
nation,England,E92000001,11/12/2020,20212,1617053,20176,1613968,36,3085
nation,England,E92000001,12/12/2020,16272,1633325,16245,1630213,27,3112
nation,England,E92000001,13/12/2020,18422,1651747,18403,1648616,19,3131
nation,England,E92000001,14/12/2020,30043,1681790,29997,1678613,46,3177
nation,England,E92000001,15/12/2020,29688,1711478,29645,1708258,43,3220
nation,England,E92000001,16/12/2020,30661,1742139,30620,1738878,41,3261
nation,England,E92000001,17/12/2020,30162,1772301,30117,1768995,45,3306
nation,England,E92000001,18/12/2020,32424,1804725,32378,1801373,46,3352
nation,England,E92000001,19/12/2020,22195,1826920,22167,1823540,28,3380
nation,England,E92000001,20/12/2020,29554,1856474,29521,1853061,33,3413
nation,England,E92000001,21/12/2020,43446,1899920,43383,1896444,63,3476
nation,England,E92000001,22/12/2020,41741,1941661,41658,1938102,83,3559
nation,England,E92000001,23/12/2020,38383,1980044,38326,1976428,57,3616
nation,England,E92000001,24/12/2020,29286,2009330,29243,2005671,43,3659
nation,England,E92000001,25/12/2020,12926,2022256,12906,2018577,20,3679
nation,England,E92000001,26/12/2020,37461,2059717,37420,2055997,41,3720
nation,England,E92000001,27/12/2020,43249,2102966,43199,2099196,50,3770
nation,England,E92000001,28/12/2020,40844,2143810,40797,2139993,47,3817
nation,England,E92000001,29/12/2020,74056,2217866,73924,2213917,132,3949
nation,England,E92000001,30/12/2020,64243,2282109,64131,2278048,112,4061
nation,England,E92000001,31/12/2020,47822,2329931,47758,2325806,64,4125
nation,England,E92000001,01/01/2021,28879,2358810,28836,2354642,43,4168
nation,England,E92000001,02/01/2021,55428,2414238,55345,2409987,83,4251
nation,England,E92000001,03/01/2021,50661,2464899,50596,2460583,65,4316
nation,England,E92000001,04/01/2021,70918,2535817,70759,2531342,159,4475
nation,England,E92000001,05/01/2021,59597,2595414,59424,2590766,173,4648
