LAD20CD,LAD20NM,1981,1991,2001,2011,PopulationDensity,,,,,,
E06000045,Southampton,4049.43385,3946.688906,4359.292553,4748.961524,4992,,,,,,
E06000033,Southend-on-Sea,3738.88401,3803.720287,3845.52073,4167.038599,4336,,,,,,
E09000028,Southwark,7262.870658,7567.811841,8479.588056,9982.893374,10655,,,,,,
E07000213,Spelthorne,2050.262988,1936.290181,2013.571586,2129.705333,2295,,,,,,
E07000240,St Albans,771.1695237,782.8626513,800.268973,872.5740637,919,,,,,,
E08000013,St. Helens,1387.890908,1310.983458,1296.888281,1285.63854,1344,,,,,,
E07000197,Stafford,193.5830842,196.9132295,201.7145233,218.7815179,229,,,,,,
E10000028,Staffordshire,288.4426437,300.1570018,307.8821047,323.8150819,334,,,,,,
E07000198,Staffordshire Moorlands,165.2375324,165.7550285,164.0827174,168.6307784,166,,,,,,
E07000243,Stevenage,2845.948277,2893.697149,3069.405296,3232.945181,3446,,,,,,
E08000007,Stockport,2292.772793,2256.3797,2257.450786,2247.493661,2339,,,,,,
E06000004,Stockton-on-Tees,838.7664072,848.6281621,870.5963068,934.9880522,959,,,,,,
E06000021,Stoke-on-Trent,2673.536761,2617.880437,2575.044008,2664.654863,2765,,,,,,
E07000221,Stratford-on-Avon,101.6516111,107.975564,114.0060217,123.21175,138,,,,,,
E07000082,Stroud,209.7180237,225.0000109,234.295576,244.8830965,263,,,,,,
E10000029,Suffolk,155.2994044,167.439765,175.932991,191.6233801,200,,,,,,
E08000024,Sunderland,2139.911887,2103.080332,2043.176303,2004.605763,1995,,,,,,
E10000030,Surrey,596.9794729,610.4788773,636.9988941,681.1295494,724,,,,,,
E07000214,Surrey Heath,797.1880159,831.533341,844.5837233,905.8921267,952,,,,,,
E09000029,Sutton,3821.112624,3851.513306,4099.69052,4336.510239,4780,,,,,,
E07000113,Swale,291.9181259,310.0095357,328.8507376,363.7428438,406,,,,,,
W06000011,Swansea,591.2299448,591.0313296,591.3650032,632.9815195,632,,,,,,
E06000030,Swindon,655.1516276,742.5248801,782.5216988,909.0051731,1014,,,,,,
E08000008,Tameside,2104.063625,2098.13076,2065.267338,2126.176152,2240,,,,,,
E07000199,Tamworth,2082.70801,2271.099197,2415.796076,2489.830052,2548,,,,,,
E07000215,Tandridge,305.006513,307.4844064,319.3782945,334.4068185,354,,,,,,
E07000045,Teignbridge,139.0391856,160.6774641,179.5224618,184.3684032,200,,,,,,
