FID,LAD20NM,R0orig,R0alp,R0dlt,R0omi
236,Nuneaton and Bedworth,1.114722166,1.630584213,1.960070211,3.366651222
237,Oadby and Wigston,1.109402463,1.70605459,2.063780459,3.575500141
238,Oldham,1.06222888,1.615029116,1.838036867,3.120554511
239,Orkney Islands,1.077454651,1.8505555,2.208953142,5.058438394
240,Oxford,1.077377691,1.65479653,1.998327091,3.456303287
241,Pembrokeshire,1.087292639,1.607114037,2.047431413,3.443581107
242,Pendle,1.092810593,1.64135631,1.730822084,3.634898353
243,Perth and Kinross,1.080120049,1.728416088,1.861876999,3.392006996
244,Peterborough,1.113663284,1.579022552,1.922674591,3.149391279
245,Plymouth,1.100490798,1.6788986,1.951652415,3.119355412
246,Portsmouth,1.092580121,1.590843871,1.870552151,3.384373873
247,Powys,1.09798882,1.654707134,2.153605907,3.332020717
248,Preston,1.092331241,1.654662997,1.734173183,3.180359336
249,Reading,1.074252173,1.620616683,1.810593943,3.372158766
250,Redbridge,1.079218641,1.495113927,1.900414318,2.848016221
251,Redcar and Cleveland,1.09694176,1.674339519,1.981362916,3.158406707
252,Redditch,1.237407241,1.6429507,2.042313277,3.531689876
253,Reigate and Banstead,1.078956332,1.653481467,1.857079267,3.228657347
254,Renfrewshire,1.089327641,1.676283257,1.724121638,3.301494103
255,Rhondda Cynon Taf,1.028215763,1.459756248,2.072829579,3.218599714
256,Ribble Valley,1.121819933,1.72930115,1.815024557,3.59101288
257,Richmond upon Thames,1.080256544,1.644668767,1.93371363,3.161779076
258,Richmondshire,1.145743488,1.751823458,2.166495098,3.659426586
259,Rochdale,1.065111426,1.622920693,1.753851339,3.115029676
260,Rochford,1.085216705,1.518486538,2.016305274,4.124814712
261,Rossendale,1.092393967,1.733547594,1.697372748,3.986963974
262,Rother,1.121082591,1.535606251,2.082633021,3.755626605
263,Rotherham,1.083153176,1.602251769,1.869043436,3.092704831
264,Rugby,1.123975739,1.681052195,1.986737569,3.4708192
265,Runnymede,1.103203611,1.620590951,2.071680277,3.619459872
266,Rushcliffe,1.102605513,1.715427492,1.962006379,3.439170172
267,Rushmoor,1.101349211,1.671147344,1.94170671,3.352032333
268,Rutland,1.149578359,1.720630599,2.09369896,4.280543356
269,Ryedale,1.138902044,1.755572306,2.246782598,3.915363313
270,Salford,1.059578917,1.633925731,1.712061741,2.970044296
271,Sandwell,1.048186877,1.536386117,1.853066366,2.803732161
272,Scarborough,1.10882152,1.658698684,1.984021301,3.544188281
273,Scottish Borders,1.082575255,1.71625333,2.088570805,3.793087304
274,Sedgemoor,1.115590816,1.681276831,2.072089427,3.474174409
275,Sefton,1.053926138,1.633775894,1.883607199,3.087750942
276,Selby,1.117205513,1.729539058,1.883530958,3.790172627
277,Sevenoaks,1.091529854,1.603201437,1.977404844,3.494030286
278,Sheffield,1.221598014,1.468155561,1.718795272,3.38899754
279,Shetland Islands,1.075453676,1.784395753,2.202873531,4.55638801
280,Shropshire,1.08836892,1.63669804,1.975264191,3.010717527
281,Slough,1.076905624,1.586352858,1.85602318,3.180025203
282,Solihull,1.073400902,1.628631327,1.876705513,3.049611246
283,Somerset West and Taunton,1.106503202,1.6650153,2.103925185,3.387481265
284,South Ayrshire,1.088419478,1.740892395,1.833847716,3.689862748
285,South Cambridgeshire,1.123246276,1.696501954,2.057396612,3.313618689
286,South Derbyshire,1.102000927,1.674935755,2.052177575,3.322636215
