date,alpha,original
31/05/2021,2296848,1627338
01/06/2021,2297221,1627338
02/06/2021,2297604,1627338
03/06/2021,2297959,1627338
04/06/2021,2298265,1627338
05/06/2021,2298487,1627338
06/06/2021,2298720,1627338
07/06/2021,2299023,1627338
08/06/2021,2299289,1627338
09/06/2021,2299534,1627338
10/06/2021,2299742,1627338
11/06/2021,2299913,1627338
12/06/2021,2300031,1627338
13/06/2021,2300135,1627338
14/06/2021,2300280,1627338
15/06/2021,2300419,1627338
16/06/2021,2300552,1627338
17/06/2021,2300677,1627338
18/06/2021,2300784,1627338
19/06/2021,2300864,1627338
20/06/2021,2300947,1627338
21/06/2021,2301069,1627338
22/06/2021,2301192,1627338
23/06/2021,2301318,1627338
24/06/2021,2301437,1627338
25/06/2021,2301547,1627338
26/06/2021,2301639,1627338
27/06/2021,2301735,1627338
28/06/2021,2301869,1627338
29/06/2021,2301988,1627338
30/06/2021,2302098,1627338
01/07/2021,2302196,1627338
02/07/2021,2302274,1627338
03/07/2021,2302335,1627338
04/07/2021,2302388,1627338
05/07/2021,2302455,1627338
06/07/2021,2302520,1627338
07/07/2021,2302584,1627338
08/07/2021,2302634,1627338
09/07/2021,2302677,1627338
10/07/2021,2302710,1627338
11/07/2021,2302740,1627338
12/07/2021,2302782,1627338
13/07/2021,2302825,1627338
14/07/2021,2302873,1627338
15/07/2021,2302925,1627338
16/07/2021,2302968,1627338
17/07/2021,2302996,1627338
18/07/2021,2303021,1627338
19/07/2021,2303051,1627338
20/07/2021,2303074,1627338
21/07/2021,2303093,1627338
22/07/2021,2303108,1627338
23/07/2021,2303120,1627338
24/07/2021,2303129,1627338
25/07/2021,2303137,1627338
26/07/2021,2303148,1627338
27/07/2021,2303158,1627338
28/07/2021,2303169,1627338
29/07/2021,2303179,1627338
30/07/2021,2303187,1627338
31/07/2021,2303194,1627338
01/08/2021,2303201,1627338
02/08/2021,2303211,1627338
03/08/2021,2303220,1627338
04/08/2021,2303229,1627338
05/08/2021,2303238,1627338
06/08/2021,2303245,1627338
07/08/2021,2303250,1627338
08/08/2021,2303255,1627338
09/08/2021,2303262,1627338
10/08/2021,2303268,1627338
11/08/2021,2303273,1627338
12/08/2021,2303278,1627338
13/08/2021,2303282,1627338
14/08/2021,2303285,1627338
15/08/2021,2303287,1627338
16/08/2021,2303290,1627338
17/08/2021,2303294,1627338
18/08/2021,2303298,1627338
19/08/2021,2303302,1627338
