date,Original,Alpha,Delta,Omicron,cumCases
04/08/2021,1627338,2303229,1388284,0,5376849
05/08/2021,1627338,2303238,1415620,0,5404975
06/08/2021,1627338,2303245,1439718,0,5429850
07/08/2021,1627338,2303250,1459015,0,5449834
08/08/2021,1627338,2303255,1478415,0,5469990
09/08/2021,1627338,2303262,1505693,0,5498278
10/08/2021,1627338,2303268,1532366,0,5525886
11/08/2021,1627338,2303273,1560565,0,5555018
12/08/2021,1627338,2303278,1587414,0,5582703
13/08/2021,1627338,2303282,1611693,0,5607691
14/08/2021,1627338,2303285,1632463,0,5629027
15/08/2021,1627338,2303287,1653214,0,5650304
16/08/2021,1627338,2303290,1683272,0,5681158
17/08/2021,1627338,2303294,1713524,0,5712247
18/08/2021,1627338,2303298,1744068,0,5743671
19/08/2021,1627338,2303302,1772286,0,5772735
20/08/2021,1627338,2303306,1797061,0,5798282
21/08/2021,1627338,2303309,1818938,0,5820867
22/08/2021,1627338,2303313,1840608,0,5843264
23/08/2021,1627338,2303318,1869941,0,5873591
24/08/2021,1627338,2303322,1897213,0,5901797
25/08/2021,1627338,2303326,1924176,0,5929692
26/08/2021,1627338,2303330,1949760,0,5956170
27/08/2021,1627338,2303334,1973178,0,5980414
28/08/2021,1627338,2303337,1992621,0,6000550
29/08/2021,1627338,2303340,2011105,0,6019699
30/08/2021,1627338,2303344,2035168,0,6044655
31/08/2021,1627338,2303349,2067494,0,6078218
01/09/2021,1627338,2303353,2097880,0,6109802
02/09/2021,1627338,2303357,2127308,0,6140424
03/09/2021,1627338,2303361,2154883,0,6169150
04/09/2021,1627338,2303364,2177326,0,6192555
05/09/2021,1627338,2303367,2199789,0,6216007
06/09/2021,1627338,2303371,2231460,0,6249128
07/09/2021,1627338,2303374,2258122,0,6277056
08/09/2021,1627338,2303377,2282568,0,6302706
09/09/2021,1627338,2303380,2305813,0,6327136
10/09/2021,1627338,2303383,2325779,0,6348155
11/09/2021,1627338,2303386,2341857,0,6365109
